Training samples 50000
Device : cuda
Total number of trainable parameters : 24742081
image_size : 224
patch_size : 16
vision_width : 192
vision_layers : 12
vision_heads : 3
vision_layer_norm_eps : 1e-06
vocab_size : 49408
text_width : 256
text_layers : 8
text_heads : 4
max_length : 77
text_layer_norm_eps : 1e-06
shared_dim : 512
batch_size : 256
learning_rate : 0.0001
epochs : 10
loss_type : contrastive
Optimizer : AdamW
Batch : 0 / 196 | Time 4483 ms | Train Loss : 5.5464 | Grad Norm : 0.2511 | Learning rate : 5.10e-07
Batch : 53 / 196 | Time 270 ms | Train Loss : 4.6744 | Grad Norm : 10.2198 | Learning rate : 9.51e-05
Batch : 54 / 196 | Time 265 ms | Train Loss : 4.7793 | Grad Norm : 10.7945 | Learning rate : 9.51e-05
Batch : 55 / 196 | Time 267 ms | Train Loss : 4.6527 | Grad Norm : 15.2543 | Learning rate : 9.50e-05
Batch : 56 / 196 | Time 267 ms | Train Loss : 4.7141 | Grad Norm : 17.2005 | Learning rate : 9.50e-05
Batch : 57 / 196 | Time 265 ms | Train Loss : 4.7159 | Grad Norm : 11.2697 | Learning rate : 9.50e-05
Batch : 58 / 196 | Time 267 ms | Train Loss : 4.7912 | Grad Norm : 16.0975 | Learning rate : 9.49e-05
Batch : 59 / 196 | Time 267 ms | Train Loss : 4.6508 | Grad Norm : 8.7004 | Learning rate : 9.49e-05
Batch : 60 / 196 | Time 268 ms | Train Loss : 4.7672 | Grad Norm : 19.0722 | Learning rate : 9.49e-05
Batch : 61 / 196 | Time 266 ms | Train Loss : 4.7256 | Grad Norm : 12.9018 | Learning rate : 9.48e-05
Batch : 62 / 196 | Time 264 ms | Train Loss : 4.7533 | Grad Norm : 11.9593 | Learning rate : 9.48e-05
Batch : 63 / 196 | Time 263 ms | Train Loss : 4.7339 | Grad Norm : 12.0293 | Learning rate : 9.47e-05
Batch : 64 / 196 | Time 268 ms | Train Loss : 4.7192 | Grad Norm : 8.6381 | Learning rate : 9.47e-05
Batch : 65 / 196 | Time 265 ms | Train Loss : 4.6380 | Grad Norm : 8.0817 | Learning rate : 9.47e-05
Batch : 66 / 196 | Time 268 ms | Train Loss : 4.6602 | Grad Norm : 27.3088 | Learning rate : 9.46e-05
Batch : 67 / 196 | Time 271 ms | Train Loss : 4.6387 | Grad Norm : 16.9431 | Learning rate : 9.46e-05
Batch : 68 / 196 | Time 269 ms | Train Loss : 4.6450 | Grad Norm : 11.5446 | Learning rate : 9.45e-05
Batch : 69 / 196 | Time 264 ms | Train Loss : 4.6307 | Grad Norm : 11.0548 | Learning rate : 9.45e-05
Batch : 70 / 196 | Time 265 ms | Train Loss : 4.7658 | Grad Norm : 11.8565 | Learning rate : 9.45e-05
Batch : 71 / 196 | Time 263 ms | Train Loss : 4.8072 | Grad Norm : 14.9588 | Learning rate : 9.44e-05
Batch : 72 / 196 | Time 263 ms | Train Loss : 4.7103 | Grad Norm : 14.1288 | Learning rate : 9.44e-05
Batch : 73 / 196 | Time 264 ms | Train Loss : 4.6782 | Grad Norm : 15.1210 | Learning rate : 9.43e-05
Batch : 74 / 196 | Time 265 ms | Train Loss : 4.6938 | Grad Norm : 16.9366 | Learning rate : 9.43e-05
Batch : 75 / 196 | Time 261 ms | Train Loss : 4.5908 | Grad Norm : 8.7047 | Learning rate : 9.42e-05
Batch : 76 / 196 | Time 269 ms | Train Loss : 4.7862 | Grad Norm : 26.1765 | Learning rate : 9.42e-05
Batch : 77 / 196 | Time 264 ms | Train Loss : 4.6411 | Grad Norm : 13.3893 | Learning rate : 9.42e-05
Batch : 78 / 196 | Time 268 ms | Train Loss : 4.6943 | Grad Norm : 22.6600 | Learning rate : 9.41e-05
Batch : 79 / 196 | Time 264 ms | Train Loss : 4.6733 | Grad Norm : 22.7126 | Learning rate : 9.41e-05
Batch : 80 / 196 | Time 263 ms | Train Loss : 4.6152 | Grad Norm : 8.7500 | Learning rate : 9.40e-05
Batch : 81 / 196 | Time 263 ms | Train Loss : 4.7622 | Grad Norm : 27.7920 | Learning rate : 9.40e-05
Batch : 82 / 196 | Time 267 ms | Train Loss : 4.7568 | Grad Norm : 35.2053 | Learning rate : 9.40e-05
Batch : 83 / 196 | Time 264 ms | Train Loss : 4.7400 | Grad Norm : 8.4105 | Learning rate : 9.39e-05
Batch : 84 / 196 | Time 264 ms | Train Loss : 4.6447 | Grad Norm : 31.0398 | Learning rate : 9.39e-05
Batch : 85 / 196 | Time 267 ms | Train Loss : 4.6529 | Grad Norm : 26.9951 | Learning rate : 9.38e-05
Batch : 86 / 196 | Time 271 ms | Train Loss : 4.7819 | Grad Norm : 12.2346 | Learning rate : 9.38e-05
Batch : 87 / 196 | Time 268 ms | Train Loss : 4.7605 | Grad Norm : 21.5679 | Learning rate : 9.37e-05
Batch : 88 / 196 | Time 264 ms | Train Loss : 4.7302 | Grad Norm : 25.2276 | Learning rate : 9.37e-05
Batch : 89 / 196 | Time 263 ms | Train Loss : 4.7374 | Grad Norm : 15.3585 | Learning rate : 9.37e-05
Batch : 90 / 196 | Time 269 ms | Train Loss : 4.6409 | Grad Norm : 11.3191 | Learning rate : 9.36e-05
Batch : 91 / 196 | Time 262 ms | Train Loss : 4.7434 | Grad Norm : 13.0324 | Learning rate : 9.36e-05
Batch : 92 / 196 | Time 263 ms | Train Loss : 4.6947 | Grad Norm : 13.5098 | Learning rate : 9.35e-05
Batch : 93 / 196 | Time 265 ms | Train Loss : 4.5861 | Grad Norm : 11.4167 | Learning rate : 9.35e-05
Batch : 94 / 196 | Time 262 ms | Train Loss : 4.8158 | Grad Norm : 15.4112 | Learning rate : 9.34e-05
Batch : 95 / 196 | Time 270 ms | Train Loss : 4.6962 | Grad Norm : 14.4537 | Learning rate : 9.34e-05
Batch : 96 / 196 | Time 264 ms | Train Loss : 4.7746 | Grad Norm : 7.2656 | Learning rate : 9.33e-05
Batch : 97 / 196 | Time 266 ms | Train Loss : 4.6723 | Grad Norm : 13.4809 | Learning rate : 9.33e-05
Batch : 98 / 196 | Time 269 ms | Train Loss : 4.7686 | Grad Norm : 16.7360 | Learning rate : 9.33e-05
Batch : 99 / 196 | Time 263 ms | Train Loss : 4.7088 | Grad Norm : 12.1910 | Learning rate : 9.32e-05
Batch : 100 / 196 | Time 264 ms | Train Loss : 4.6972 | Grad Norm : 6.6642 | Learning rate : 9.32e-05
Batch : 101 / 196 | Time 264 ms | Train Loss : 4.7915 | Grad Norm : 15.7789 | Learning rate : 9.31e-05
Batch : 102 / 196 | Time 264 ms | Train Loss : 4.6818 | Grad Norm : 17.4942 | Learning rate : 9.31e-05
Batch : 103 / 196 | Time 266 ms | Train Loss : 4.6896 | Grad Norm : 12.3025 | Learning rate : 9.30e-05
Batch : 104 / 196 | Time 264 ms | Train Loss : 4.6681 | Grad Norm : 10.5474 | Learning rate : 9.30e-05
Batch : 105 / 196 | Time 269 ms | Train Loss : 4.6682 | Grad Norm : 13.6041 | Learning rate : 9.29e-05
Batch : 106 / 196 | Time 266 ms | Train Loss : 4.7376 | Grad Norm : 12.0377 | Learning rate : 9.29e-05
Batch : 107 / 196 | Time 263 ms | Train Loss : 4.6814 | Grad Norm : 8.8413 | Learning rate : 9.28e-05
Batch : 108 / 196 | Time 264 ms | Train Loss : 4.6740 | Grad Norm : 13.8832 | Learning rate : 9.28e-05
Batch : 109 / 196 | Time 263 ms | Train Loss : 4.6823 | Grad Norm : 7.6309 | Learning rate : 9.28e-05
Batch : 110 / 196 | Time 266 ms | Train Loss : 4.6113 | Grad Norm : 12.5047 | Learning rate : 9.27e-05
Batch : 111 / 196 | Time 265 ms | Train Loss : 4.6497 | Grad Norm : 7.0578 | Learning rate : 9.27e-05
Batch : 112 / 196 | Time 270 ms | Train Loss : 4.5957 | Grad Norm : 8.0753 | Learning rate : 9.26e-05
Batch : 113 / 196 | Time 264 ms | Train Loss : 4.7153 | Grad Norm : 17.3047 | Learning rate : 9.26e-05
Batch : 114 / 196 | Time 263 ms | Train Loss : 4.6876 | Grad Norm : 12.2929 | Learning rate : 9.25e-05
Batch : 115 / 196 | Time 265 ms | Train Loss : 4.6753 | Grad Norm : 11.0437 | Learning rate : 9.25e-05
Batch : 116 / 196 | Time 265 ms | Train Loss : 4.6720 | Grad Norm : 9.5100 | Learning rate : 9.24e-05
Batch : 117 / 196 | Time 264 ms | Train Loss : 4.8049 | Grad Norm : 16.6933 | Learning rate : 9.24e-05
Batch : 118 / 196 | Time 262 ms | Train Loss : 4.6818 | Grad Norm : 17.2525 | Learning rate : 9.23e-05
Batch : 119 / 196 | Time 265 ms | Train Loss : 4.5788 | Grad Norm : 12.1254 | Learning rate : 9.23e-05
Batch : 120 / 196 | Time 259 ms | Train Loss : 4.7206 | Grad Norm : 21.0133 | Learning rate : 9.22e-05
Batch : 121 / 196 | Time 274 ms | Train Loss : 4.6376 | Grad Norm : 28.2774 | Learning rate : 9.22e-05
Batch : 122 / 196 | Time 265 ms | Train Loss : 4.6670 | Grad Norm : 13.9331 | Learning rate : 9.21e-05
Batch : 123 / 196 | Time 267 ms | Train Loss : 4.7248 | Grad Norm : 12.7382 | Learning rate : 9.21e-05
Batch : 124 / 196 | Time 266 ms | Train Loss : 4.7088 | Grad Norm : 11.9536 | Learning rate : 9.20e-05
Batch : 125 / 196 | Time 262 ms | Train Loss : 4.6804 | Grad Norm : 6.2983 | Learning rate : 9.20e-05
Batch : 126 / 196 | Time 269 ms | Train Loss : 4.6887 | Grad Norm : 14.1034 | Learning rate : 9.20e-05
Batch : 127 / 196 | Time 265 ms | Train Loss : 4.6341 | Grad Norm : 13.9241 | Learning rate : 9.19e-05
Batch : 128 / 196 | Time 263 ms | Train Loss : 4.6364 | Grad Norm : 8.6733 | Learning rate : 9.19e-05
Batch : 129 / 196 | Time 273 ms | Train Loss : 4.7386 | Grad Norm : 10.0774 | Learning rate : 9.18e-05
Batch : 130 / 196 | Time 263 ms | Train Loss : 4.7201 | Grad Norm : 19.0261 | Learning rate : 9.18e-05
Batch : 131 / 196 | Time 267 ms | Train Loss : 4.6334 | Grad Norm : 12.7493 | Learning rate : 9.17e-05
Batch : 132 / 196 | Time 265 ms | Train Loss : 4.6949 | Grad Norm : 9.2813 | Learning rate : 9.17e-05
Batch : 133 / 196 | Time 266 ms | Train Loss : 4.6904 | Grad Norm : 9.1182 | Learning rate : 9.16e-05
Batch : 134 / 196 | Time 266 ms | Train Loss : 4.5871 | Grad Norm : 10.5945 | Learning rate : 9.16e-05
Batch : 135 / 196 | Time 267 ms | Train Loss : 4.6200 | Grad Norm : 14.6120 | Learning rate : 9.15e-05
Batch : 136 / 196 | Time 265 ms | Train Loss : 4.7805 | Grad Norm : 13.6985 | Learning rate : 9.15e-05
Batch : 137 / 196 | Time 270 ms | Train Loss : 4.6057 | Grad Norm : 8.6848 | Learning rate : 9.14e-05
Batch : 138 / 196 | Time 263 ms | Train Loss : 4.6545 | Grad Norm : 13.1813 | Learning rate : 9.14e-05
Batch : 139 / 196 | Time 263 ms | Train Loss : 4.6324 | Grad Norm : 10.4354 | Learning rate : 9.13e-05
Batch : 140 / 196 | Time 265 ms | Train Loss : 4.7174 | Grad Norm : 10.2441 | Learning rate : 9.13e-05
Batch : 141 / 196 | Time 264 ms | Train Loss : 4.5548 | Grad Norm : 8.0527 | Learning rate : 9.12e-05
Batch : 142 / 196 | Time 268 ms | Train Loss : 4.6056 | Grad Norm : 11.5766 | Learning rate : 9.12e-05
Batch : 143 / 196 | Time 265 ms | Train Loss : 4.6304 | Grad Norm : 9.3936 | Learning rate : 9.11e-05
Batch : 144 / 196 | Time 264 ms | Train Loss : 4.6392 | Grad Norm : 8.6432 | Learning rate : 9.11e-05
Batch : 145 / 196 | Time 263 ms | Train Loss : 4.6095 | Grad Norm : 11.7756 | Learning rate : 9.10e-05
Batch : 146 / 196 | Time 264 ms | Train Loss : 4.7600 | Grad Norm : 11.3966 | Learning rate : 9.10e-05
Batch : 147 / 196 | Time 264 ms | Train Loss : 4.6709 | Grad Norm : 5.7359 | Learning rate : 9.09e-05
Batch : 148 / 196 | Time 265 ms | Train Loss : 4.7534 | Grad Norm : 15.5635 | Learning rate : 9.09e-05
Batch : 149 / 196 | Time 271 ms | Train Loss : 4.7389 | Grad Norm : 8.8670 | Learning rate : 9.08e-05
Batch : 150 / 196 | Time 269 ms | Train Loss : 4.5778 | Grad Norm : 14.8418 | Learning rate : 9.08e-05
Batch : 151 / 196 | Time 265 ms | Train Loss : 4.6226 | Grad Norm : 10.6526 | Learning rate : 9.07e-05
Batch : 152 / 196 | Time 265 ms | Train Loss : 4.5904 | Grad Norm : 8.4492 | Learning rate : 9.06e-05
Batch : 153 / 196 | Time 264 ms | Train Loss : 4.7247 | Grad Norm : 11.5010 | Learning rate : 9.06e-05
Batch : 154 / 196 | Time 266 ms | Train Loss : 4.7005 | Grad Norm : 14.7588 | Learning rate : 9.05e-05
Batch : 155 / 196 | Time 263 ms | Train Loss : 4.6561 | Grad Norm : 15.0926 | Learning rate : 9.05e-05
Batch : 156 / 196 | Time 263 ms | Train Loss : 4.6967 | Grad Norm : 11.4814 | Learning rate : 9.04e-05
Batch : 157 / 196 | Time 265 ms | Train Loss : 4.5949 | Grad Norm : 9.4770 | Learning rate : 9.04e-05
Batch : 158 / 196 | Time 265 ms | Train Loss : 4.6555 | Grad Norm : 7.0151 | Learning rate : 9.03e-05
Batch : 159 / 196 | Time 272 ms | Train Loss : 4.6615 | Grad Norm : 11.3816 | Learning rate : 9.03e-05
Batch : 160 / 196 | Time 264 ms | Train Loss : 4.6036 | Grad Norm : 7.8909 | Learning rate : 9.02e-05
Batch : 161 / 196 | Time 264 ms | Train Loss : 4.8116 | Grad Norm : 21.0757 | Learning rate : 9.02e-05
Batch : 162 / 196 | Time 265 ms | Train Loss : 4.7046 | Grad Norm : 21.7739 | Learning rate : 9.01e-05
Batch : 163 / 196 | Time 268 ms | Train Loss : 4.6172 | Grad Norm : 10.8581 | Learning rate : 9.01e-05
Batch : 164 / 196 | Time 267 ms | Train Loss : 4.6754 | Grad Norm : 13.9964 | Learning rate : 9.00e-05
Batch : 165 / 196 | Time 265 ms | Train Loss : 4.6215 | Grad Norm : 11.8024 | Learning rate : 9.00e-05
Batch : 166 / 196 | Time 265 ms | Train Loss : 4.5946 | Grad Norm : 13.7283 | Learning rate : 8.99e-05
Batch : 167 / 196 | Time 268 ms | Train Loss : 4.5341 | Grad Norm : 13.4180 | Learning rate : 8.99e-05
Batch : 168 / 196 | Time 270 ms | Train Loss : 4.5858 | Grad Norm : 11.3606 | Learning rate : 8.98e-05
Batch : 169 / 196 | Time 264 ms | Train Loss : 4.5119 | Grad Norm : 13.5828 | Learning rate : 8.97e-05
Batch : 170 / 196 | Time 267 ms | Train Loss : 4.6329 | Grad Norm : 13.8823 | Learning rate : 8.97e-05
Batch : 171 / 196 | Time 262 ms | Train Loss : 4.5879 | Grad Norm : 9.3215 | Learning rate : 8.96e-05
Batch : 172 / 196 | Time 264 ms | Train Loss : 4.6737 | Grad Norm : 13.6668 | Learning rate : 8.96e-05
Batch : 173 / 196 | Time 266 ms | Train Loss : 4.6008 | Grad Norm : 9.3149 | Learning rate : 8.95e-05
Batch : 174 / 196 | Time 264 ms | Train Loss : 4.5175 | Grad Norm : 15.7422 | Learning rate : 8.95e-05
Batch : 175 / 196 | Time 265 ms | Train Loss : 4.5872 | Grad Norm : 10.5628 | Learning rate : 8.94e-05
Batch : 176 / 196 | Time 264 ms | Train Loss : 4.5549 | Grad Norm : 11.7715 | Learning rate : 8.94e-05
Batch : 177 / 196 | Time 265 ms | Train Loss : 4.6787 | Grad Norm : 12.4490 | Learning rate : 8.93e-05
Batch : 178 / 196 | Time 264 ms | Train Loss : 4.7238 | Grad Norm : 8.9832 | Learning rate : 8.93e-05
Batch : 179 / 196 | Time 262 ms | Train Loss : 4.6264 | Grad Norm : 15.5074 | Learning rate : 8.92e-05
Batch : 180 / 196 | Time 265 ms | Train Loss : 4.6712 | Grad Norm : 12.6413 | Learning rate : 8.91e-05
Batch : 181 / 196 | Time 263 ms | Train Loss : 4.6201 | Grad Norm : 8.1258 | Learning rate : 8.91e-05
Batch : 182 / 196 | Time 263 ms | Train Loss : 4.6209 | Grad Norm : 13.4000 | Learning rate : 8.90e-05
Batch : 183 / 196 | Time 265 ms | Train Loss : 4.6559 | Grad Norm : 10.1370 | Learning rate : 8.90e-05
Batch : 184 / 196 | Time 264 ms | Train Loss : 4.6767 | Grad Norm : 11.4167 | Learning rate : 8.89e-05
Batch : 185 / 196 | Time 265 ms | Train Loss : 4.6144 | Grad Norm : 13.7056 | Learning rate : 8.89e-05
Batch : 186 / 196 | Time 264 ms | Train Loss : 4.6563 | Grad Norm : 10.2621 | Learning rate : 8.88e-05
Batch : 187 / 196 | Time 264 ms | Train Loss : 4.6549 | Grad Norm : 13.3678 | Learning rate : 8.88e-05
Batch : 188 / 196 | Time 265 ms | Train Loss : 4.5666 | Grad Norm : 10.8179 | Learning rate : 8.87e-05
Batch : 189 / 196 | Time 265 ms | Train Loss : 4.5503 | Grad Norm : 8.5253 | Learning rate : 8.86e-05
Batch : 190 / 196 | Time 264 ms | Train Loss : 4.4852 | Grad Norm : 11.0273 | Learning rate : 8.86e-05
Batch : 191 / 196 | Time 264 ms | Train Loss : 4.6362 | Grad Norm : 17.7111 | Learning rate : 8.85e-05
Batch : 192 / 196 | Time 263 ms | Train Loss : 4.5729 | Grad Norm : 10.0119 | Learning rate : 8.85e-05
Batch : 193 / 196 | Time 263 ms | Train Loss : 4.6203 | Grad Norm : 16.1850 | Learning rate : 8.84e-05
Batch : 194 / 196 | Time 266 ms | Train Loss : 4.5848 | Grad Norm : 12.9549 | Learning rate : 8.84e-05
Batch : 195 / 196 | Time 111 ms | Train Loss : 3.2041 | Grad Norm : 17.8431 | Learning rate : 8.83e-05
Epoch : 2 | Training Loss : 3.2041| Accuracy on test set : 0.4176
 Batch : 0 / 196 | Time 275 ms | Train Loss : 4.6426 | Grad Norm : 11.9491 | Learning rate : 8.82e-05
Batch : 1 / 196 | Time 267 ms | Train Loss : 4.5686 | Grad Norm : 16.0752 | Learning rate : 8.82e-05
Batch : 2 / 196 | Time 266 ms | Train Loss : 4.6149 | Grad Norm : 17.5949 | Learning rate : 8.81e-05
Batch : 3 / 196 | Time 264 ms | Train Loss : 4.6227 | Grad Norm : 17.2249 | Learning rate : 8.81e-05
Batch : 4 / 196 | Time 264 ms | Train Loss : 4.6224 | Grad Norm : 16.4038 | Learning rate : 8.80e-05
Batch : 5 / 196 | Time 266 ms | Train Loss : 4.5392 | Grad Norm : 12.3245 | Learning rate : 8.80e-05
Batch : 6 / 196 | Time 265 ms | Train Loss : 4.5618 | Grad Norm : 15.8400 | Learning rate : 8.79e-05
Batch : 7 / 196 | Time 263 ms | Train Loss : 4.5444 | Grad Norm : 17.1459 | Learning rate : 8.78e-05
Batch : 8 / 196 | Time 264 ms | Train Loss : 4.7042 | Grad Norm : 15.4694 | Learning rate : 8.78e-05
Batch : 9 / 196 | Time 271 ms | Train Loss : 4.7866 | Grad Norm : 13.5464 | Learning rate : 8.77e-05
Batch : 10 / 196 | Time 265 ms | Train Loss : 4.5861 | Grad Norm : 12.7482 | Learning rate : 8.77e-05
Batch : 11 / 196 | Time 268 ms | Train Loss : 4.5835 | Grad Norm : 10.7563 | Learning rate : 8.76e-05
Batch : 12 / 196 | Time 267 ms | Train Loss : 4.4979 | Grad Norm : 12.3932 | Learning rate : 8.75e-05
Batch : 13 / 196 | Time 265 ms | Train Loss : 4.6611 | Grad Norm : 8.6879 | Learning rate : 8.75e-05
Batch : 14 / 196 | Time 265 ms | Train Loss : 4.5461 | Grad Norm : 11.8440 | Learning rate : 8.74e-05
Batch : 15 / 196 | Time 264 ms | Train Loss : 4.5952 | Grad Norm : 11.6895 | Learning rate : 8.74e-05
Batch : 16 / 196 | Time 264 ms | Train Loss : 4.6069 | Grad Norm : 10.2974 | Learning rate : 8.73e-05
Batch : 17 / 196 | Time 265 ms | Train Loss : 4.6229 | Grad Norm : 8.2319 | Learning rate : 8.73e-05
Batch : 18 / 196 | Time 267 ms | Train Loss : 4.6468 | Grad Norm : 8.9571 | Learning rate : 8.72e-05
Batch : 19 / 196 | Time 267 ms | Train Loss : 4.4984 | Grad Norm : 14.8417 | Learning rate : 8.71e-05
Batch : 20 / 196 | Time 267 ms | Train Loss : 4.6168 | Grad Norm : 14.5622 | Learning rate : 8.71e-05
Batch : 21 / 196 | Time 258 ms | Train Loss : 4.6281 | Grad Norm : 14.0521 | Learning rate : 8.70e-05
Batch : 22 / 196 | Time 265 ms | Train Loss : 4.6889 | Grad Norm : 21.7218 | Learning rate : 8.70e-05
Batch : 23 / 196 | Time 268 ms | Train Loss : 4.6459 | Grad Norm : 15.0124 | Learning rate : 8.69e-05
Batch : 24 / 196 | Time 265 ms | Train Loss : 4.5668 | Grad Norm : 16.4048 | Learning rate : 8.68e-05
Batch : 25 / 196 | Time 266 ms | Train Loss : 4.6261 | Grad Norm : 15.7410 | Learning rate : 8.68e-05
Batch : 26 / 196 | Time 267 ms | Train Loss : 4.5325 | Grad Norm : 14.1284 | Learning rate : 8.67e-05
Batch : 27 / 196 | Time 265 ms | Train Loss : 4.5766 | Grad Norm : 9.8925 | Learning rate : 8.67e-05
Batch : 28 / 196 | Time 264 ms | Train Loss : 4.6675 | Grad Norm : 12.0532 | Learning rate : 8.66e-05
Batch : 29 / 196 | Time 263 ms | Train Loss : 4.4149 | Grad Norm : 10.2907 | Learning rate : 8.65e-05
Batch : 30 / 196 | Time 268 ms | Train Loss : 4.6015 | Grad Norm : 16.8139 | Learning rate : 8.65e-05
Batch : 31 / 196 | Time 269 ms | Train Loss : 4.7098 | Grad Norm : 15.8782 | Learning rate : 8.64e-05
Batch : 32 / 196 | Time 266 ms | Train Loss : 4.5651 | Grad Norm : 12.3326 | Learning rate : 8.63e-05
Batch : 33 / 196 | Time 264 ms | Train Loss : 4.5943 | Grad Norm : 20.9198 | Learning rate : 8.63e-05
Batch : 34 / 196 | Time 266 ms | Train Loss : 4.6667 | Grad Norm : 7.1432 | Learning rate : 8.62e-05
Batch : 35 / 196 | Time 265 ms | Train Loss : 4.5788 | Grad Norm : 14.0456 | Learning rate : 8.62e-05
Batch : 36 / 196 | Time 265 ms | Train Loss : 4.5810 | Grad Norm : 14.3432 | Learning rate : 8.61e-05
Batch : 37 / 196 | Time 264 ms | Train Loss : 4.5378 | Grad Norm : 10.1442 | Learning rate : 8.60e-05
Batch : 38 / 196 | Time 267 ms | Train Loss : 4.4962 | Grad Norm : 14.5034 | Learning rate : 8.60e-05
Batch : 39 / 196 | Time 266 ms | Train Loss : 4.6870 | Grad Norm : 21.7750 | Learning rate : 8.59e-05
Batch : 40 / 196 | Time 266 ms | Train Loss : 4.5636 | Grad Norm : 11.0643 | Learning rate : 8.59e-05
Batch : 41 / 196 | Time 263 ms | Train Loss : 4.6029 | Grad Norm : 11.7203 | Learning rate : 8.58e-05
Batch : 42 / 196 | Time 265 ms | Train Loss : 4.5395 | Grad Norm : 13.9635 | Learning rate : 8.57e-05
Batch : 43 / 196 | Time 264 ms | Train Loss : 4.5449 | Grad Norm : 13.9069 | Learning rate : 8.57e-05
Batch : 44 / 196 | Time 269 ms | Train Loss : 4.5276 | Grad Norm : 8.1122 | Learning rate : 8.56e-05
Batch : 45 / 196 | Time 267 ms | Train Loss : 4.6347 | Grad Norm : 22.3978 | Learning rate : 8.55e-05
Batch : 46 / 196 | Time 268 ms | Train Loss : 4.6520 | Grad Norm : 28.7269 | Learning rate : 8.55e-05
Batch : 47 / 196 | Time 266 ms | Train Loss : 4.5065 | Grad Norm : 20.5956 | Learning rate : 8.54e-05
Batch : 48 / 196 | Time 265 ms | Train Loss : 4.5656 | Grad Norm : 18.0548 | Learning rate : 8.54e-05
Batch : 49 / 196 | Time 266 ms | Train Loss : 4.6664 | Grad Norm : 10.7158 | Learning rate : 8.53e-05
Batch : 50 / 196 | Time 267 ms | Train Loss : 4.6172 | Grad Norm : 8.3324 | Learning rate : 8.52e-05
Batch : 51 / 196 | Time 265 ms | Train Loss : 4.5653 | Grad Norm : 12.8154 | Learning rate : 8.52e-05
Batch : 52 / 196 | Time 269 ms | Train Loss : 4.5784 | Grad Norm : 14.0252 | Learning rate : 8.51e-05
Batch : 53 / 196 | Time 266 ms | Train Loss : 4.6249 | Grad Norm : 7.6614 | Learning rate : 8.50e-05
Batch : 54 / 196 | Time 272 ms | Train Loss : 4.5746 | Grad Norm : 12.5306 | Learning rate : 8.50e-05
Batch : 55 / 196 | Time 267 ms | Train Loss : 4.7214 | Grad Norm : 15.8411 | Learning rate : 8.49e-05
Batch : 56 / 196 | Time 266 ms | Train Loss : 4.4219 | Grad Norm : 8.7995 | Learning rate : 8.48e-05
Batch : 57 / 196 | Time 266 ms | Train Loss : 4.6074 | Grad Norm : 20.6358 | Learning rate : 8.48e-05
Batch : 58 / 196 | Time 260 ms | Train Loss : 4.5764 | Grad Norm : 21.8955 | Learning rate : 8.47e-05
Batch : 59 / 196 | Time 265 ms | Train Loss : 4.5908 | Grad Norm : 12.9953 | Learning rate : 8.47e-05
Batch : 60 / 196 | Time 266 ms | Train Loss : 4.5356 | Grad Norm : 12.6733 | Learning rate : 8.46e-05
Batch : 61 / 196 | Time 277 ms | Train Loss : 4.5305 | Grad Norm : 10.8902 | Learning rate : 8.45e-05
Batch : 62 / 196 | Time 264 ms | Train Loss : 4.7089 | Grad Norm : 23.5409 | Learning rate : 8.45e-05
Batch : 63 / 196 | Time 267 ms | Train Loss : 4.4875 | Grad Norm : 12.0286 | Learning rate : 8.44e-05
Batch : 64 / 196 | Time 264 ms | Train Loss : 4.5432 | Grad Norm : 21.4510 | Learning rate : 8.43e-05
Batch : 65 / 196 | Time 269 ms | Train Loss : 4.5980 | Grad Norm : 22.8225 | Learning rate : 8.43e-05
Batch : 66 / 196 | Time 269 ms | Train Loss : 4.6273 | Grad Norm : 8.9630 | Learning rate : 8.42e-05
Batch : 67 / 196 | Time 271 ms | Train Loss : 4.4958 | Grad Norm : 19.2792 | Learning rate : 8.41e-05
Batch : 68 / 196 | Time 268 ms | Train Loss : 4.5846 | Grad Norm : 14.6537 | Learning rate : 8.41e-05
Batch : 69 / 196 | Time 266 ms | Train Loss : 4.6266 | Grad Norm : 9.5801 | Learning rate : 8.40e-05
Batch : 70 / 196 | Time 266 ms | Train Loss : 4.5793 | Grad Norm : 11.5753 | Learning rate : 8.39e-05
Batch : 71 / 196 | Time 267 ms | Train Loss : 4.5464 | Grad Norm : 9.9465 | Learning rate : 8.39e-05
Batch : 72 / 196 | Time 265 ms | Train Loss : 4.6872 | Grad Norm : 12.0853 | Learning rate : 8.38e-05
Batch : 73 / 196 | Time 266 ms | Train Loss : 4.7522 | Grad Norm : 16.6912 | Learning rate : 8.37e-05
Batch : 74 / 196 | Time 266 ms | Train Loss : 4.5779 | Grad Norm : 10.4246 | Learning rate : 8.37e-05
Batch : 75 / 196 | Time 271 ms | Train Loss : 4.4806 | Grad Norm : 11.8630 | Learning rate : 8.36e-05
Batch : 76 / 196 | Time 270 ms | Train Loss : 4.6522 | Grad Norm : 17.2301 | Learning rate : 8.35e-05
Batch : 77 / 196 | Time 265 ms | Train Loss : 4.6800 | Grad Norm : 12.1969 | Learning rate : 8.35e-05
Batch : 78 / 196 | Time 264 ms | Train Loss : 4.5873 | Grad Norm : 14.3656 | Learning rate : 8.34e-05
Batch : 79 / 196 | Time 267 ms | Train Loss : 4.5742 | Grad Norm : 9.2566 | Learning rate : 8.34e-05
Batch : 80 / 196 | Time 267 ms | Train Loss : 4.6424 | Grad Norm : 17.5946 | Learning rate : 8.33e-05
